participantId,trialId,trialOrder,responseId,status,percentComplete,description,instruction,responsePrompt,answer,correctAnswer,responseMin,responseMax,startTime,endTime,duration,configHash
"0af16079-0483-461b-93c6-eca94561e312","Consent","1","id","rejected","29.41","undefined","undefined","Please enter your Prolific ID","cvv","undefined","undefined","undefined","2024-08-13T15:46:20.211Z","2024-08-13T15:46:27.152Z","6941","b011fd085c893b46f29f1bc1c954aff0cac6737dd8ff96e79015ddce64d6ea10"
"0af16079-0483-461b-93c6-eca94561e312","Consent","1","consent","rejected","29.41","undefined","undefined","Do you consent to the study and wish to continue?","yes","undefined","undefined","undefined","2024-08-13T15:46:20.211Z","2024-08-13T15:46:27.152Z","6941","b011fd085c893b46f29f1bc1c954aff0cac6737dd8ff96e79015ddce64d6ea10"
"0af16079-0483-461b-93c6-eca94561e312","Training 1","3","1","rejected","29.41","undefined","Please answer the following questions:","What is the largest set?","Action","Action","undefined","undefined","2024-08-13T16:47:36.097Z","2024-08-13T16:48:02.663Z","26566","b011fd085c893b46f29f1bc1c954aff0cac6737dd8ff96e79015ddce64d6ea10"
"0af16079-0483-461b-93c6-eca94561e312","Training 1","3","2","rejected","29.41","undefined","Please answer the following questions:","What is the largest intersection?","Empty Intersection (no sets)","Empty Intersection (no sets)","undefined","undefined","2024-08-13T16:47:36.097Z","2024-08-13T16:48:02.663Z","26566","b011fd085c893b46f29f1bc1c954aff0cac6737dd8ff96e79015ddce64d6ea10"
"0af16079-0483-461b-93c6-eca94561e312","Training 1","3","3","rejected","29.41","undefined","Please answer the following questions:","How many sets make up the largest intersection?","It is the empty intersection (no sets)","It is the empty intersection (no sets)","undefined","undefined","2024-08-13T16:47:36.097Z","2024-08-13T16:48:02.663Z","26566","b011fd085c893b46f29f1bc1c954aff0cac6737dd8ff96e79015ddce64d6ea10"
"0af16079-0483-461b-93c6-eca94561e312","Training 2","4","1","rejected","29.41","undefined","Please answer the following questions:","What is the largest set?","Adventure","Adventure","undefined","undefined","2024-08-13T16:48:02.680Z","2024-08-13T16:48:16.430Z","13750","b011fd085c893b46f29f1bc1c954aff0cac6737dd8ff96e79015ddce64d6ea10"
"0af16079-0483-461b-93c6-eca94561e312","Training 2","4","2","rejected","29.41","undefined","Please answer the following questions:","What is the largest intersection?","Adventure","Adventure","undefined","undefined","2024-08-13T16:48:02.680Z","2024-08-13T16:48:16.430Z","13750","b011fd085c893b46f29f1bc1c954aff0cac6737dd8ff96e79015ddce64d6ea10"
"0af16079-0483-461b-93c6-eca94561e312","Training 2","4","3","rejected","29.41","undefined","Please answer the following questions:","How many sets make up the largest intersection?","It is only of a single set","It is only of a single set","undefined","undefined","2024-08-13T16:48:02.680Z","2024-08-13T16:48:16.430Z","13750","b011fd085c893b46f29f1bc1c954aff0cac6737dd8ff96e79015ddce64d6ea10"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Consent","1","id","rejected","100.00","undefined","undefined","Your Prolific ID","Rahat Zaman","undefined","undefined","undefined","2024-07-31T03:26:03.202Z","2024-07-31T03:27:28.983Z","85781","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Consent","1","consent","rejected","100.00","undefined","undefined","Do you consent to the study and wish to continue?","yes","undefined","undefined","undefined","2024-07-31T03:26:03.202Z","2024-07-31T03:27:28.983Z","85781","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Training 1","3","1","rejected","100.00","undefined","Please answer the following questions:","What is the largest set?","Romance","Action","undefined","undefined","2024-07-31T03:48:25.846Z","2024-07-31T03:52:51.094Z","265248","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Training 1","3","2","rejected","100.00","undefined","Please answer the following questions:","What is the largest intersection?","Empty Intersection","Empty Intersection (no sets)","undefined","undefined","2024-07-31T03:48:25.846Z","2024-07-31T03:52:51.094Z","265248","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Training 1","3","3","rejected","100.00","undefined","Please answer the following questions:","How many sets make up the largest intersection?","No set","It is the empty intersection (no sets)","undefined","undefined","2024-07-31T03:48:25.846Z","2024-07-31T03:52:51.094Z","265248","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Training 2","4","1","rejected","100.00","undefined","Please answer the following questions:","What is the largest set?","Adventure","Adventure","undefined","undefined","2024-07-31T03:52:51.112Z","2024-07-31T04:01:08.980Z","497868","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Training 2","4","2","rejected","100.00","undefined","Please answer the following questions:","What is the largest intersection?","Empty Intersection","Adventure","undefined","undefined","2024-07-31T03:52:51.112Z","2024-07-31T04:01:08.980Z","497868","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Training 2","4","3","rejected","100.00","undefined","Please answer the following questions:","How many sets make up the largest intersection?","No set","It is only of a single set.","undefined","undefined","2024-07-31T03:52:51.112Z","2024-07-31T04:01:08.980Z","497868","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Training 3","5","1","rejected","100.00","undefined","Please answer the following questions:","What is the largest set?","Drama","Drama","undefined","undefined","2024-07-31T04:01:08.993Z","2024-07-31T04:01:40.418Z","31425","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Training 3","5","2","rejected","100.00","undefined","Please answer the following questions:","What is the largest intersection?","Drama","Drama","undefined","undefined","2024-07-31T04:01:08.993Z","2024-07-31T04:01:40.418Z","31425","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Training 3","5","3","rejected","100.00","undefined","Please answer the following questions:","How many sets make up the largest intersection?","Independent set","It is only of a single set.","undefined","undefined","2024-07-31T04:01:08.993Z","2024-07-31T04:01:40.418Z","31425","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Covid-Text-Q1","7","voq1","rejected","100.00","Content: Text Only","Please answer the following question about the text:","How many sets are shown in the description?","6","undefined","0","100","2024-07-31T04:01:44.092Z","2024-07-31T04:13:04.386Z","680294","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Covid-Text-Q1","7","voq2","rejected","100.00","Content: Text Only","Please answer the following question about the text:","What is the largest set?","Fatigue","undefined","undefined","undefined","2024-07-31T04:01:44.092Z","2024-07-31T04:13:04.386Z","680294","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Covid-Text-Q1","7","voq3","rejected","100.00","Content: Text Only","Please answer the following question about the text:","What is the largest intersection?","Empty Intersection","undefined","undefined","undefined","2024-07-31T04:01:44.092Z","2024-07-31T04:13:04.386Z","680294","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Covid-Text-Q1","7","voq4","rejected","100.00","Content: Text Only","Please answer the following question about the text:","How large is the largest intersection?","281","undefined","0","1000000000","2024-07-31T04:01:44.092Z","2024-07-31T04:13:04.386Z","680294","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Covid-Text-Q1","7","voq5","rejected","100.00","Content: Text Only","Please answer the following question about the text:","How many sets make up the largest intersection?","Low set","undefined","undefined","undefined","2024-07-31T04:01:44.092Z","2024-07-31T04:13:04.386Z","680294","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Covid-Text-Q1","7","voq6","rejected","100.00","Content: Text Only","Please answer the following question about the text:","How similar are the set sizes?","Diverging a lot","undefined","undefined","undefined","2024-07-31T04:01:44.092Z","2024-07-31T04:13:04.386Z","680294","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Covid-Text-Q1","7","voq7","rejected","100.00","Content: Text Only","Please answer the following question about the text:","Is the largest set present in the largest intersection?","1","undefined","undefined","undefined","2024-07-31T04:01:44.092Z","2024-07-31T04:13:04.386Z","680294","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Covid-Text-Q1","7","voq8","rejected","100.00","Content: Text Only","Please answer the following question about the text:","Is the all-set intersection (intersection having all the sets) present? ","1","undefined","undefined","undefined","2024-07-31T04:01:44.092Z","2024-07-31T04:13:04.386Z","680294","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Covid-Text-Q2","8","voq1","rejected","100.00","Content: Text Only","Rate the content:","How confident are you in your answers?","4","undefined","undefined","undefined","2024-07-31T04:13:04.413Z","2024-07-31T04:13:29.390Z","24977","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Covid-Text-Q2","8","voq2","rejected","100.00","Content: Text Only","Rate the content:","How well did you understand the information presented?","4","undefined","undefined","undefined","2024-07-31T04:13:04.413Z","2024-07-31T04:13:29.390Z","24977","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Covid-Text-Q2","8","voq3","rejected","100.00","Content: Text Only","Rate the content:","How effective was the description of the data at conveying information?","1","undefined","undefined","undefined","2024-07-31T04:13:04.413Z","2024-07-31T04:13:29.390Z","24977","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Covid-Text-Q3","9","voq1","rejected","100.00","Content: Text Only","Please answer the following question about the text:","What are your insights and take-aways from the description of this data?","I am not sure if this description is complete, meaning you cannot create the complete visualization just from this description. Also, it is very hard to tell the size of empty intersection from just the set sizes and top 5 intersection sizes.","undefined","undefined","undefined","2024-07-31T04:13:29.411Z","2024-07-31T04:14:46.812Z","77401","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Tennis-Both-Q1","10","voq1","rejected","100.00","Content: Text and Visual","Please answer the following questions about the content:","How many sets are there?","4","undefined","0","100","2024-07-31T04:14:46.836Z","2024-07-31T04:15:53.089Z","66253","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Tennis-Both-Q1","10","voq2","rejected","100.00","Content: Text and Visual","Please answer the following questions about the content:","What is the largest set?","Australian","undefined","undefined","undefined","2024-07-31T04:14:46.836Z","2024-07-31T04:15:53.089Z","66253","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Tennis-Both-Q1","10","voq3","rejected","100.00","Content: Text and Visual","Please answer the following questions about the content:","What is the largest intersection?","French Open","undefined","undefined","undefined","2024-07-31T04:14:46.836Z","2024-07-31T04:15:53.089Z","66253","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Tennis-Both-Q1","10","voq4","rejected","100.00","Content: Text and Visual","Please answer the following questions about the content:","How large is the largest intersection?","23","undefined","0","1000000000","2024-07-31T04:14:46.836Z","2024-07-31T04:15:53.089Z","66253","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Tennis-Both-Q1","10","voq5","rejected","100.00","Content: Text and Visual","Please answer the following questions about the content:","How many sets make up the largest intersection?","Independent set","undefined","undefined","undefined","2024-07-31T04:14:46.836Z","2024-07-31T04:15:53.089Z","66253","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Tennis-Both-Q1","10","voq6","rejected","100.00","Content: Text and Visual","Please answer the following questions about the content:","How similar are the set sizes?","Identical","undefined","undefined","undefined","2024-07-31T04:14:46.836Z","2024-07-31T04:15:53.089Z","66253","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Tennis-Both-Q1","10","voq7","rejected","100.00","Content: Text and Visual","Please answer the following questions about the content:","Is the largest set present in the largest intersection?","2","undefined","undefined","undefined","2024-07-31T04:14:46.836Z","2024-07-31T04:15:53.089Z","66253","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Tennis-Both-Q1","10","voq8","rejected","100.00","Content: Text and Visual","Please answer the following questions about the content:","Is the all-set intersection (intersection having all the sets) present? ","1","undefined","undefined","undefined","2024-07-31T04:14:46.836Z","2024-07-31T04:15:53.089Z","66253","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Tennis-Both-Q2","11","voq1","rejected","100.00","Content: Text and Visual","Rate the content:","How confident are you in your answers?","5","undefined","undefined","undefined","2024-07-31T04:15:53.110Z","2024-07-31T04:15:59.607Z","6497","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Tennis-Both-Q2","11","voq2","rejected","100.00","Content: Text and Visual","Rate the content:","How well did you understand the information presented?","5","undefined","undefined","undefined","2024-07-31T04:15:53.110Z","2024-07-31T04:15:59.607Z","6497","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Tennis-Both-Q2","11","voq3","rejected","100.00","Content: Text and Visual","Rate the content:","How effective was the content at conveying information?","5","undefined","undefined","undefined","2024-07-31T04:15:53.110Z","2024-07-31T04:15:59.607Z","6497","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Tennis-Both-Q3","12","voq1","rejected","100.00","Content: Text and Visual","Please answer the following question about the content:","What are your insights and take-aways from the plot and the description for this data?","Well, it took like 5% of time taken than the previous task with only text description. I didn't read the description of this visualization at all.","undefined","undefined","undefined","2024-07-31T04:15:59.621Z","2024-07-31T04:16:44.547Z","44926","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Organizations-Vis-Q1","13","voq1","rejected","100.00","Content: Visualization Only","Please answer the following question about the plot:","How many sets are shown in the upset plot?","8","undefined","0","100","2024-07-31T04:16:44.577Z","2024-07-31T04:19:42.639Z","178062","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Organizations-Vis-Q1","13","voq2","rejected","100.00","Content: Visualization Only","Please answer the following question about the plot:","What is the largest set?","UPU","undefined","undefined","undefined","2024-07-31T04:16:44.577Z","2024-07-31T04:19:42.639Z","178062","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Organizations-Vis-Q1","13","voq3","rejected","100.00","Content: Visualization Only","Please answer the following question about the plot:","What is the largest intersection?","Interpol,UN,UNESCO,UPU,WHO","undefined","undefined","undefined","2024-07-31T04:16:44.577Z","2024-07-31T04:19:42.639Z","178062","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Organizations-Vis-Q1","13","voq4","rejected","100.00","Content: Visualization Only","Please answer the following question about the plot:","How large is the largest intersection?","117","undefined","0","1000000000","2024-07-31T04:16:44.577Z","2024-07-31T04:19:42.639Z","178062","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Organizations-Vis-Q1","13","voq5","rejected","100.00","Content: Visualization Only","Please answer the following question about the plot:","How many sets make up the largest intersection?","Medium / High order set","undefined","undefined","undefined","2024-07-31T04:16:44.577Z","2024-07-31T04:19:42.639Z","178062","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Organizations-Vis-Q1","13","voq6","rejected","100.00","Content: Visualization Only","Please answer the following question about the plot:","How similar are the set sizes?","Diverging a lot","undefined","undefined","undefined","2024-07-31T04:16:44.577Z","2024-07-31T04:19:42.639Z","178062","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Organizations-Vis-Q1","13","voq7","rejected","100.00","Content: Visualization Only","Please answer the following question about the plot:","Is the largest set present in the largest intersection?","1","undefined","undefined","undefined","2024-07-31T04:16:44.577Z","2024-07-31T04:19:42.639Z","178062","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Organizations-Vis-Q1","13","voq8","rejected","100.00","Content: Visualization Only","Please answer the following question about the plot:","Is the all-set intersection (intersection having all the sets) present? ","2","undefined","undefined","undefined","2024-07-31T04:16:44.577Z","2024-07-31T04:19:42.639Z","178062","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Organizations-Vis-Q2","14","voq1","rejected","100.00","Content: Visualization Only","Rate the content:","How confident are you in your answers?","5","undefined","undefined","undefined","2024-07-31T04:19:42.661Z","2024-07-31T04:19:47.458Z","4797","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Organizations-Vis-Q2","14","voq2","rejected","100.00","Content: Visualization Only","Rate the content:","How well did you understand the information presented?","5","undefined","undefined","undefined","2024-07-31T04:19:42.661Z","2024-07-31T04:19:47.458Z","4797","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Organizations-Vis-Q2","14","voq3","rejected","100.00","Content: Visualization Only","Rate the content:","How effective was the plot at conveying information?","5","undefined","undefined","undefined","2024-07-31T04:19:42.661Z","2024-07-31T04:19:47.458Z","4797","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Organizations-Vis-Q3","15","voq1","rejected","100.00","Content: Visualization Only","Please answer the following question about the chart:","What are your insights and take-aways from this plot for this data?","It is same as the previous task. I was confidently answering the questions, and the task was very easy.","undefined","undefined","undefined","2024-07-31T04:19:47.472Z","2024-07-31T04:20:20.203Z","32731","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Post Study Survey","16","q1","rejected","100.00","undefined","undefined","Which presentation modality did you find most effective?","Just Visualization","undefined","undefined","undefined","2024-07-31T04:20:20.265Z","2024-07-31T04:23:37.201Z","196936","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
