participantId,trialId,trialOrder,responseId,status,percentComplete,description,instruction,responsePrompt,answer,correctAnswer,responseMin,responseMax,startTime,endTime,duration,configHash
"0af16079-0483-461b-93c6-eca94561e312","Consent","1","id","in progress","29.41","undefined","undefined","Please enter your Prolific ID","cvv","undefined","undefined","undefined","2024-08-13T15:46:20.211Z","2024-08-13T15:46:27.152Z","6941","b011fd085c893b46f29f1bc1c954aff0cac6737dd8ff96e79015ddce64d6ea10"
"0af16079-0483-461b-93c6-eca94561e312","Consent","1","consent","in progress","29.41","undefined","undefined","Do you consent to the study and wish to continue?","yes","undefined","undefined","undefined","2024-08-13T15:46:20.211Z","2024-08-13T15:46:27.152Z","6941","b011fd085c893b46f29f1bc1c954aff0cac6737dd8ff96e79015ddce64d6ea10"
"0af16079-0483-461b-93c6-eca94561e312","Training 1","3","1","in progress","29.41","undefined","Please answer the following questions:","What is the largest set?","Action","Action","undefined","undefined","2024-08-13T16:47:36.097Z","2024-08-13T16:48:02.663Z","26566","b011fd085c893b46f29f1bc1c954aff0cac6737dd8ff96e79015ddce64d6ea10"
"0af16079-0483-461b-93c6-eca94561e312","Training 1","3","2","in progress","29.41","undefined","Please answer the following questions:","What is the largest intersection?","Empty Intersection (no sets)","Empty Intersection (no sets)","undefined","undefined","2024-08-13T16:47:36.097Z","2024-08-13T16:48:02.663Z","26566","b011fd085c893b46f29f1bc1c954aff0cac6737dd8ff96e79015ddce64d6ea10"
"0af16079-0483-461b-93c6-eca94561e312","Training 1","3","3","in progress","29.41","undefined","Please answer the following questions:","How many sets make up the largest intersection?","It is the empty intersection (no sets)","It is the empty intersection (no sets)","undefined","undefined","2024-08-13T16:47:36.097Z","2024-08-13T16:48:02.663Z","26566","b011fd085c893b46f29f1bc1c954aff0cac6737dd8ff96e79015ddce64d6ea10"
"0af16079-0483-461b-93c6-eca94561e312","Training 2","4","1","in progress","29.41","undefined","Please answer the following questions:","What is the largest set?","Adventure","Adventure","undefined","undefined","2024-08-13T16:48:02.680Z","2024-08-13T16:48:16.430Z","13750","b011fd085c893b46f29f1bc1c954aff0cac6737dd8ff96e79015ddce64d6ea10"
"0af16079-0483-461b-93c6-eca94561e312","Training 2","4","2","in progress","29.41","undefined","Please answer the following questions:","What is the largest intersection?","Adventure","Adventure","undefined","undefined","2024-08-13T16:48:02.680Z","2024-08-13T16:48:16.430Z","13750","b011fd085c893b46f29f1bc1c954aff0cac6737dd8ff96e79015ddce64d6ea10"
"0af16079-0483-461b-93c6-eca94561e312","Training 2","4","3","in progress","29.41","undefined","Please answer the following questions:","How many sets make up the largest intersection?","It is only of a single set","It is only of a single set","undefined","undefined","2024-08-13T16:48:02.680Z","2024-08-13T16:48:16.430Z","13750","b011fd085c893b46f29f1bc1c954aff0cac6737dd8ff96e79015ddce64d6ea10"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Consent","1","id","completed","100.00","undefined","undefined","Your Prolific ID","Rahat Zaman","undefined","undefined","undefined","2024-07-31T03:26:03.202Z","2024-07-31T03:27:28.983Z","85781","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Consent","1","consent","completed","100.00","undefined","undefined","Do you consent to the study and wish to continue?","yes","undefined","undefined","undefined","2024-07-31T03:26:03.202Z","2024-07-31T03:27:28.983Z","85781","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
