participantId,trialId,trialOrder,responseId,status,percentComplete,description,responsePrompt,answer,correctAnswer,responseMin,responseMax,startTime,endTime,duration,dataset
2033c860-b467-42e3-ab2e-19ca44e65b0a,Consent,1,id,completed,100.0,undefined,Your Prolific ID,Rahat Zaman,undefined,undefined,undefined,2024-07-31T03:26:03.202Z,2024-07-31T03:27:28.983Z,85781,Undefined
2033c860-b467-42e3-ab2e-19ca44e65b0a,Consent,1,consent,completed,100.0,undefined,Do you consent to the study and wish to continue?,yes,undefined,undefined,undefined,2024-07-31T03:26:03.202Z,2024-07-31T03:27:28.983Z,85781,Undefined
2033c860-b467-42e3-ab2e-19ca44e65b0a,Training 1,3,1,completed,100.0,undefined,What is the largest set?,Romance,Action,undefined,undefined,2024-07-31T03:48:25.846Z,2024-07-31T03:52:51.094Z,265248,Movie Genres
2033c860-b467-42e3-ab2e-19ca44e65b0a,Training 1,3,2,completed,100.0,undefined,What is the largest intersection?,Empty Intersection,Empty Intersection (no sets),undefined,undefined,2024-07-31T03:48:25.846Z,2024-07-31T03:52:51.094Z,265248,Movie Genres
2033c860-b467-42e3-ab2e-19ca44e65b0a,Training 1,3,3,completed,100.0,undefined,How many sets make up the largest intersection?,No set,It is the empty intersection (no sets),undefined,undefined,2024-07-31T03:48:25.846Z,2024-07-31T03:52:51.094Z,265248,Movie Genres
2033c860-b467-42e3-ab2e-19ca44e65b0a,Training 2,4,1,completed,100.0,undefined,What is the largest set?,Adventure,Adventure,undefined,undefined,2024-07-31T03:52:51.112Z,2024-07-31T04:01:08.980Z,497868,Movie Genres
2033c860-b467-42e3-ab2e-19ca44e65b0a,Training 2,4,2,completed,100.0,undefined,What is the largest intersection?,Empty Intersection,Adventure,undefined,undefined,2024-07-31T03:52:51.112Z,2024-07-31T04:01:08.980Z,497868,Movie Genres
2033c860-b467-42e3-ab2e-19ca44e65b0a,Training 2,4,3,completed,100.0,undefined,How many sets make up the largest intersection?,No set,It is only of a single set.,undefined,undefined,2024-07-31T03:52:51.112Z,2024-07-31T04:01:08.980Z,497868,Movie Genres
2033c860-b467-42e3-ab2e-19ca44e65b0a,Training 3,5,1,completed,100.0,undefined,What is the largest set?,Drama,Drama,undefined,undefined,2024-07-31T04:01:08.993Z,2024-07-31T04:01:40.418Z,31425,Movie Genres
2033c860-b467-42e3-ab2e-19ca44e65b0a,Training 3,5,2,completed,100.0,undefined,What is the largest intersection?,Drama,Drama,undefined,undefined,2024-07-31T04:01:08.993Z,2024-07-31T04:01:40.418Z,31425,Movie Genres
